id,name,brewery_id,state,country,style,availability,abv
202522,Olde Cogitator,2199,CA,US,English Oatmeal Stout, Rotating,7.3
108605,Icon Sender,22598,CA,US,American Lager, Year-round,5.6
110318,Schwartz Hop,22598,CA,US,American Black Ale, Limited (brewed once),6.0
199068,Eastwood - Equinox,33278,CA,US,American Imperial IPA, Limited (brewed once),8.2
201463,Dudeling,42740,CA,US,Belgian Saison, Rotating,5.9
174277,Trip In The Woods: Madeira Aged Ovila,140,CA,US,Belgian Quadrupel (Quad), Limited (brewed once),
182262,Wild Billy Winter Bock,25935,CA,US,German Bock, Winter,7.25
71854,Three Flowers,812,CA,US,Rye Beer, Rotating,6.5
363261,Bakery: Coconut Macaroon,16866,CA,US,American Imperial Stout, Rotating,12.9
172090,Berlin Bulldog,31571,CA,US,German Pilsner, Rotating,5.1
68590,Red Carpet Ale,25430,CA,US,American Amber / Red Ale, Year-round,5.9
126074,Faction Barleywine,33181,CA,US,American Barleywine, Limited (brewed once),9.0
362423,Dark Weasel Porter,53573,CA,US,American Porter, Rotating,
145222,Speedway Stout - Honey Graham,396,CA,US,American Imperial Stout, Limited (brewed once),12.0
75783,Carmen - Kiwi,16866,CA,US,American Wild Ale, Limited (brewed once),7.0
6299,Bison Weizen,609,CA,US,German Hefeweizen, Year-round,
288235,Dogmatic,32930,CA,US,American Imperial IPA, Rotating,8.0
188649,Brandy Aged Tart Double Stout,31097,CA,US,American Wild Ale, Limited (brewed once),7.1
272375,Cocoa Milk,40892,CA,US,English Sweet / Milk Stout, Limited (brewed once),8.3
108828,Little India Pale Ale (100% Vienna Malt),199,CA,US,American Pale Ale (APA), Rotating,
52230,Collaborative Evil,1678,CA,US,Belgian Strong Pale Ale, Limited (brewed once),7.0
254603,The Decline,38745,CA,US,American Strong Ale, Rotating,9.5
283832,The Calling,45678,CA,US,American Pale Ale (APA), Limited (brewed once),6.8
364550,Nitro,34017,CA,US,English Porter, Summer,4.0
177592,Unity,27922,CA,US,Belgian Saison, Limited (brewed once),5.3
63314,Bourbon Barrel Double Stout,2743,CA,US,American Imperial Stout, Rotating,10.1
34094,Older Viscosity,13839,CA,US,American Imperial Stout, Rotating,12.0
49575,Empirical 7,863,CA,US,Belgian Saison, Limited (brewed once),7.0
234045,Teacher's Aide,38302,CA,US,American Amber / Red Ale, Year-round,5.5
98240,Saison,27378,CA,US,Belgian Saison, Rotating,6.6
127933,Archives 1804 T,31331,CA,US,English Porter, Limited (brewed once),2.8
282630,Throw Back Pilsner,30265,CA,US,Bohemian Pilsener, Year-round,5.4
364504,Monkish / Half Acre Here To Fish,28657,CA,US,American Imperial IPA, Rotating,9.4
162733,Cuivre,16866,CA,US,English Old Ale, Limited (brewed once),16.2
