id,look,smell,taste,feel,overall,score
174277,4.375,4.5,4.5625,4.3125,4.5,4.5024999999999995
71854,3.7732558139534884,3.75,3.813953488372093,3.7906976744186047,3.802325581395349,3.793255813953488
363261,4.2625,4.2375,4.2625,4.2875,4.25,4.258500000000001
68590,3.9,3.4,3.425,3.5,3.275,3.425
126074,4.0,3.65,3.4,3.45,3.55,3.532
145222,4.5625,4.625,4.25,4.5625,4.1875,4.3775
75783,3.6,3.7,3.6,3.6,3.65,3.6340000000000003
6299,3.125,3.125,3.0,3.375,2.875,3.0500000000000003
288235,3.9166666666666665,4.166666666666667,4.333333333333333,4.25,4.166666666666667,4.2299999999999995
254603,3.8333333333333335,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9133333333333336
177592,3.911111111111111,3.938888888888889,3.8555555555555556,3.933333333333333,3.861111111111111,3.8902222222222225
34094,4.165619765494137,4.3710217755443885,4.381281407035176,4.198701842546064,4.227596314907872,4.3179815745393615
49575,3.75,3.75,3.75,3.75,3.9166666666666665,3.7833333333333337
98240,3.45,3.45,3.35,3.25,3.3,3.3600000000000003
364504,4.5,4.416666666666667,4.5,4.5,4.583333333333333,4.5
162733,4.2012820512820515,4.382692307692308,4.3865384615384615,4.323076923076923,4.35448717948718,4.3636410256410265
316855,4.416666666666667,4.25,4.416666666666667,4.333333333333333,4.416666666666667,4.37
158035,3.65625,3.75,3.90625,3.9375,3.8125,3.84
274512,4.125,4.125,4.125,4.125,4.125,4.125
343188,3.9642857142857144,4.071428571428571,4.178571428571429,4.0,4.071428571428571,4.101428571428572
213162,3.25,2.8125,2.625,3.0625,3.0,2.8275
121691,4.0,3.0,2.5,3.0,2.75,2.81
97537,3.75,3.703125,3.734375,3.796875,3.703125,3.7299999999999995
269595,3.6666666666666665,3.3333333333333335,3.1666666666666665,3.3333333333333335,3.3333333333333335,3.2900000000000005
121679,3.4642857142857144,3.7857142857142856,3.4642857142857144,3.5714285714285716,3.607142857142857,3.5814285714285714
173354,3.6666666666666665,3.8333333333333335,3.8333333333333335,3.6666666666666665,3.7222222222222223,3.7866666666666666
329056,3.9642857142857144,4.035714285714286,4.035714285714286,3.9642857142857144,4.035714285714286,4.025714285714286
158953,4.0,3.6666666666666665,3.6666666666666665,3.5833333333333335,3.6666666666666665,3.6799999999999997
197015,3.875,3.875,3.8125,3.5,3.75,3.7875
5568,3.4375,3.625,3.5,3.75,3.75,3.6024999999999996
30838,4.0,3.8333333333333335,4.0,3.6666666666666665,4.0,3.926666666666667
165675,3.7954545454545454,3.772727272727273,3.75,3.8181818181818183,3.75,3.7663636363636357
88155,3.6875,3.6875,3.75,3.5,3.5,3.6574999999999998
145514,3.375,2.75,2.625,3.125,2.75,2.7800000000000002
312161,3.75,3.875,3.5625,3.5625,3.6875,3.6750000000000003
101276,4.0,3.5,3.75,3.75,3.75,3.71
221119,4.230769230769231,4.153846153846154,4.038461538461538,3.980769230769231,4.076923076923077,4.081538461538463
93918,4.0,3.75,4.0,4.25,4.0,3.97
74763,4.0,3.9166666666666665,3.8333333333333335,4.083333333333333,3.8333333333333335,3.89
127728,3.743455497382199,3.763089005235602,3.799738219895288,3.781413612565445,3.764397905759162,3.780732984293193
259729,4.211864406779661,4.22457627118644,4.220338983050848,4.135593220338983,4.211864406779661,4.212542372881356
218612,3.9166666666666665,4.0,3.8333333333333335,3.8333333333333335,3.8333333333333335,3.8800000000000003
265724,3.7083333333333335,3.8333333333333335,3.5833333333333335,3.625,3.625,3.6650000000000005
119221,3.827272727272727,3.8,3.9,3.8545454545454545,3.85,3.858545454545455
183110,4.166666666666667,4.125,4.166666666666667,4.125,4.166666666666667,4.153333333333333
255922,4.083333333333333,4.041666666666667,3.5416666666666665,3.7083333333333335,3.7916666666666665,3.763333333333333
144205,4.25,4.1875,4.25,4.125,4.25,4.2225
101162,3.8703703703703702,3.7685185185185186,3.8518518518518516,3.8796296296296298,3.8425925925925926,3.8355555555555556
74972,4.0,3.875,4.0,4.0,4.0,3.9699999999999998
66451,3.588709677419355,3.6451612903225805,3.774193548387097,3.661290322580645,3.7903225806451615,3.7241935483870967
287697,4.083333333333333,3.8333333333333335,3.6666666666666665,3.6666666666666665,3.75,3.75
343277,4.05,4.15,4.183333333333334,4.1,4.133333333333334,4.150666666666667
322434,4.4375,4.25,4.125,4.0625,4.125,4.17
88382,3.3214285714285716,3.0714285714285716,3.107142857142857,3.25,3.142857142857143,3.134285714285714
315745,3.9479166666666665,4.072916666666667,4.010416666666667,3.9791666666666665,4.0,4.0183333333333335
136598,3.8333333333333335,3.8333333333333335,3.75,3.9166666666666665,3.75,3.793333333333333
158339,3.9,3.95,3.8,4.1,3.85,3.8840000000000003
271903,3.9166666666666665,3.6666666666666665,3.75,3.6666666666666665,3.6666666666666665,3.716666666666667
145130,3.75,3.6818181818181817,3.6363636363636362,3.522727272727273,3.5454545454545454,3.6254545454545455
158050,4.083333333333333,3.5,3.5833333333333335,4.083333333333333,3.75,3.676666666666667
221513,3.7916666666666665,3.5833333333333335,3.6666666666666665,3.5833333333333335,3.638888888888889,3.6411111111111114
84324,3.5,3.5,3.75,4.25,3.75,3.725
230189,4.15,4.15,4.05,4.15,4.0,4.081999999999999
118545,4.0,3.25,3.25,3.75,3.5,3.4
306136,4.203125,4.15625,4.140625,4.109375,4.109375,4.14
13691,3.5,3.8333333333333335,3.8333333333333335,3.5,4.0,3.813333333333333
178246,3.75,3.6666666666666665,3.75,3.8333333333333335,3.75,3.74
13903,4.044117647058823,3.7205882352941178,3.9705882352941178,3.911764705882353,4.088235294117647,3.933529411764706
319366,4.166666666666667,4.25,4.333333333333333,4.333333333333333,4.166666666666667,4.2700000000000005
35991,3.5,3.625,3.5,3.125,3.5,3.495
337723,4.2,4.15,4.2,4.3,4.2,4.2
186200,4.333333333333333,4.25,4.25,4.416666666666667,4.333333333333333,4.29
216491,4.416666666666667,4.416666666666667,4.5,4.166666666666667,4.5,4.443333333333333
200342,3.8125,3.75,3.75,3.875,3.75,3.7675
157854,4.0,3.9444444444444446,4.055555555555555,3.9722222222222223,3.9722222222222223,4.001111111111111
161902,3.65625,3.96875,3.71875,3.71875,3.75,3.7824999999999998
117702,3.9583333333333335,4.125,4.125,4.125,4.25,4.141666666666667
306880,4.03125,3.9375,3.84375,4.0625,3.84375,3.9025
296516,3.9791666666666665,4.041666666666667,4.0,4.083333333333333,3.9583333333333335,4.01
281807,3.75,3.6666666666666665,3.5833333333333335,3.6666666666666665,3.6666666666666665,3.64
65241,3.8790983606557377,3.7735655737704916,3.7602459016393444,3.7489754098360657,3.7438524590163933,3.767827868852458
108646,4.0227272727272725,4.0,3.7954545454545454,3.8181818181818183,3.8863636363636362,3.880909090909091
283370,4.333333333333333,4.416666666666667,4.166666666666667,4.25,4.25,4.263333333333333
218775,4.108695652173913,4.065217391304348,4.130434782608695,4.173913043478261,4.119565217391305,4.116956521739131
229657,4.0397727272727275,4.125,4.1647727272727275,4.1647727272727275,4.119318181818182,4.140681818181819
90855,3.7095238095238097,3.566666666666667,3.611904761904762,3.6547619047619047,3.6404761904761904,3.618761904761905
307233,4.166666666666667,4.416666666666667,4.333333333333333,4.25,4.333333333333333,4.336666666666667
230044,3.85,3.85,3.8,3.9,3.9,3.846
105232,4.129032258064516,4.104838709677419,4.083870967741936,4.019354838709678,4.07258064516129,4.084903225806453
192131,3.638888888888889,3.4722222222222223,3.5,3.611111111111111,3.5555555555555554,3.5244444444444443
24942,3.75,3.25,3.875,3.5,3.75,3.655
